   -0.181968518302522142E+00    0.922791496238504649E+00    0.950581262607479061E+03    0.799368038665276615E+00    0.303644084987796692E+01    0.142710865823543953E+01    0.551961864671664526E+00    0.825115211053124853E-01    0.324285082145848391E+00    0.119689265487475695E-01    0.516243801969827262E-02   -0.830580029971269596E+03
    0.231032478481001391E+00    0.920670819120622319E+00    0.950581436379279580E+03    0.595976609950922165E+00    0.294016731191601766E+01    0.119167401533827322E+01    0.322448217991989083E+00    0.103258899938711748E+00    0.642806530901533946E+00    0.119062189900412500E-01    0.484609738712246663E-02   -0.829619681823445035E+03
    0.249670958254638142E+00    0.921508554726909179E+00    0.950581112968112620E+03    0.427765613078307183E+00    0.330462237047200169E+01    0.981781599867195931E+00    0.577208600335362587E+00    0.116000033584462620E+00    0.455147967261003039E+00    0.119090746932610063E-01    0.513857785847840823E-02   -0.828812521259541541E+03
    0.734655037325466775E-01    0.959089453619026755E+00    0.950581475079477741E+03    0.370940063031967693E+00    0.340274743833209214E+01    0.895725983478410814E+00    0.493569423351981729E+00    0.185307831625792119E+00    0.499424728750874680E+00    0.118485913906439568E-01    0.508094247353048020E-02   -0.828425640838627146E+03
   -0.374177045405389430E+00    0.885683868992920065E+00    0.950580693483019900E+03    0.785792065238690496E+00    0.308900480193168026E+01    0.139659033478636196E+01    0.431647563825151903E+00    0.229674512652170565E+00    0.514813743603933616E+00    0.118958425954562123E-01    0.492881650567162863E-02   -0.828352304740043564E+03
    0.557785322725167898E+00    0.780914448159656382E+00    0.950581585791810539E+03    0.824417574731950653E+00    0.302562519029803800E+01    0.145540655589135692E+01    0.607029317182404493E+00    0.765552115408511535E-01    0.334513341403171516E+00    0.119119181016879398E-01    0.484010734734904510E-02   -0.828191663024767536E+03
    0.977806777167566921E-02    0.957825838310722766E+00    0.950581608549332714E+03    0.867929215633923556E+00    0.321867822261933334E+01    0.149608968034558210E+01    0.473792371490125652E+00    0.179428203575077161E+00    0.227529738654997898E+00    0.119164897565196860E-01    0.512858322256337304E-02   -0.828190118608697048E+03
   -0.100319657595989709E-01    0.983504843160717290E+00    0.950581062229310305E+03    0.670921846248051956E+00    0.351977591654465716E+01    0.129010399662720543E+01    0.984955353518052190E-01    0.373795397978185992E-01    0.687557259457108993E+00    0.119115360300878249E-01    0.507165064320515627E-02   -0.828155684134281842E+03
   -0.317783372191349223E-01    0.943996784320621618E+00    0.950581033983159386E+03    0.662968515046211793E+00    0.323441356817354553E+01    0.128365486649079186E+01    0.620201397867140458E+00    0.322021678298719666E-01    0.373478929120952124E-01    0.118333726581612737E-01    0.509581006760531988E-02   -0.827968225547294196E+03
   -0.103953028094721400E+00    0.909923006961508296E+00    0.950581161893752437E+03    0.509699532852279980E+00    0.285960069716233800E+01    0.108681146814498719E+01    0.491886091247377810E+00    0.168048480502642900E+00    0.470442650295952169E+00    0.119378686448893441E-01    0.504630987637468345E-02   -0.827881778975272368E+03
    0.498699236767911280E+00    0.818684364463759140E+00    0.950581801334795500E+03    0.813054608964302927E+00    0.312686578822326311E+01    0.142787362695760334E+01    0.644602488464460888E+00    0.251375624376710127E+00    0.456857999354855271E+00    0.119824369756624562E-01    0.496825586224033944E-02   -0.827741848973790638E+03
    0.313992258297015825E+00    0.899400627089058435E+00    0.950581839642916407E+03    0.598452586052717117E+00    0.279279338134135724E+01    0.120164336253771475E+01    0.157040561891874764E+00    0.446686562692005587E-01    0.969666356098262794E+00    0.120130883051361055E-01    0.493024767123821997E-02   -0.827591360612552535E+03
