    0.895614118666571358E+03    0.545791842928006088E+00    0.362811853356334257E+01    0.149928248678932174E+01    0.308147356146925233E+00    0.221038505765768639E+00    0.308895006340751066E+00    0.336777845417138982E-03   -0.146701591565455772E-02   -0.879243388951907718E+02
    0.895608870301760703E+03    0.448172564653440797E+00    0.296238980006841057E+01    0.138232937453106430E+01   -0.198899941594867791E+00    0.701537310769940081E+00    0.538184488954342899E+00    0.251233046399335774E-03   -0.133673253294763067E-02   -0.865388971024834319E+02
    0.895611858509792683E+03    0.305652939121530853E+00    0.330776569560597222E+01    0.124331931354999536E+01    0.755174315940694285E-01    0.528184051637954233E+00    0.211826203695843818E+00    0.220072232165448300E-03   -0.118402707030218490E-02   -0.860517968143138035E+02
    0.895611837667347459E+03    0.503006316580720481E+00    0.312668491457582398E+01    0.145673257564554337E+01   -0.203180535237666327E+00    0.121867719156374385E+00    0.493435721932143578E+00    0.355316655065343601E-03   -0.107656021982434000E-02   -0.859548608269344925E+02
    0.895616142745595198E+03    0.530377177904126529E+00    0.338536390584065749E+01    0.147821067837640641E+01    0.735244301082929042E-01    0.420315325597131306E+00    0.164038009225035059E+00    0.305703479697935071E-03   -0.139617838505025349E-02   -0.856442962756721897E+02
    0.895607531613153810E+03    0.310727265615567905E+00    0.301549291182633139E+01    0.125749686716123210E+01   -0.161967196095043953E+00    0.112565877282491456E+00    0.284926530414530588E+00    0.267993828712502491E-03   -0.129128408864463001E-02   -0.855056396943545565E+02
    0.895605116323410130E+03    0.112073285943133427E+00    0.317690006842435668E+01    0.101014709126023550E+01    0.240775651667867407E+00    0.936498940546535374E+00    0.112909735110449896E+00    0.292465708245231992E-03   -0.131483275259917584E-02   -0.851447333814883365E+02
    0.895613040307473739E+03    0.397137605676184835E+00    0.359955503820126976E+01    0.135035191277909083E+01    0.305656090812250980E+00    0.712431155683967560E-01    0.462705320960482946E+00    0.243347154461854426E-03   -0.139939006538851787E-02   -0.847751673245030588E+02
    0.895604150073337451E+03    0.230260308011416670E+00    0.307915912569908956E+01    0.113970147702252222E+01    0.485080566024969073E-01    0.859366821399594527E+00    0.546018262648111929E+00    0.310355759434798040E-03   -0.125521940567877716E-02   -0.847032054771077583E+02
    0.895613395560593403E+03    0.412794369439753894E+00    0.315344566763074363E+01    0.134400894689303207E+01    0.127997207315244665E-01    0.779144059775834119E+00    0.250609078771337535E+00    0.360791287815055706E-03   -0.116571923477539613E-02   -0.845967366810604915E+02
    0.895608846125590617E+03    0.480307975335715787E+00    0.332162752505993364E+01    0.141778397529722522E+01    0.291424218555252246E+00    0.501674108803415786E+00    0.941742098410091821E+00    0.317893180131291475E-03   -0.122192447806456980E-02   -0.843783790747727949E+02
    0.895606032088206348E+03    0.444526697658090941E+00    0.303948382212248625E+01    0.138196000132226904E+01   -0.729085665046467213E-01    0.692279970055839744E+00    0.448294505215389161E-01    0.290397050096161125E-03   -0.133753855947763706E-02   -0.842914129131209506E+02
    0.895616397127524237E+03    0.403684688089889554E+00    0.300239740743371719E+01    0.135630239556772469E+01   -0.318799507741990062E+00    0.103354524717976320E+00    0.110969272505981750E+00    0.268029696261433414E-03   -0.121178344559184567E-02   -0.840970926497815014E+02
    0.895613331052502872E+03    0.201373644014711001E+00    0.348211084432565166E+01    0.114720646196006104E+01    0.166155507909177658E+00    0.518273473646860411E-01    0.370745705473083165E+00    0.248498364729607402E-03   -0.140782430060541058E-02   -0.840592128731917541E+02
    0.895614776840745549E+03    0.237095744250116175E+00    0.349704555962788310E+01    0.117417444729519227E+01    0.300107719136882167E+00    0.298469072004741320E+00    0.462093902909964660E+00    0.351004428355543990E-03   -0.125693271224517136E-02   -0.838108020061355177E+02
    0.895608058606356849E+03    0.973259137635985871E-01    0.296715543863931064E+01    0.996442321752699423E+00    0.561191723498817296E-01    0.527445489626706121E+00    0.661905345468764783E+00    0.274177507574684121E-03   -0.126918680321001093E-02   -0.837847953883453584E+02
