Nested Sampling Global Log-Evidence           :   -0.534729477273051259E+02  +/-    0.138797093181249831E+00
Nested Importance Sampling Global Log-Evidence:   -0.552575586682574880E+02  +/-    0.510227483455048675E-01

Dim No.       Mean        Sigma
   1    0.261344927296747755E+03    0.459334539193484773E-03
   2    0.942174969650838761E+03    0.447085123412585821E-03
   3    0.473109062021879800E+00    0.145221485973441866E+00
   4    0.127504278324178699E+04    0.348559718715768128E+02
   5    0.122037269497461076E+01    0.169496546689649641E+00
   6    0.498418394783060492E+00    0.249652493685892540E+00
   7    0.482208562501873106E+00    0.275114265995301033E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.261345038774560578E+03
   2    0.942174992354769984E+03
   3    0.728443147931737478E+00
   4    0.136317938567869646E+04
   5    0.149656525893531245E+01
   6    0.405186690026302976E+00
   7    0.913780150577693573E+00

MAP Parameters
Dim No.        Parameter
   1    0.261345038774560578E+03
   2    0.942174992354769984E+03
   3    0.728443147931737478E+00
   4    0.136317938567869646E+04
   5    0.149656525893531245E+01
   6    0.405186690026302976E+00
   7    0.913780150577693573E+00
