    0.261344273870924667E+03    0.942174390989399285E+03    0.403033024157089748E+00    0.125538811116831425E+04    0.113095744813375254E+01    0.435270541126735411E+00    0.985034290089214948E+00   -0.424483338478701384E+02
    0.261345195597032443E+03    0.942175440957886963E+03    0.288390342153296286E+00    0.122388182006958368E+04    0.992605239914398974E+00    0.663688116215261248E+00    0.645429809393790577E+00   -0.424183121190381200E+02
    0.261346437872388606E+03    0.942174402119122192E+03    0.239581923054256379E+00    0.121973386400973618E+04    0.973412179068185002E+00    0.471208602721817083E-01    0.401978924768085055E+00   -0.423652101994718180E+02
    0.261345504144440895E+03    0.942174155128159668E+03    0.228247106342148121E+00    0.125809922185274036E+04    0.893252832319367140E+00    0.650137232363170781E+00    0.810165874425005095E+00   -0.417447209179807999E+02
    0.261345075842912308E+03    0.942174634884819511E+03    0.449983479912454409E+00    0.131697841093905049E+04    0.117702155229418048E+01    0.671453242542802364E+00    0.617077110085014646E+00   -0.415512263332802405E+02
    0.261345543437103117E+03    0.942173519769980317E+03    0.298199057459595629E+00    0.122260395637723877E+04    0.102795414323333834E+01    0.475965406210621278E+00    0.153639016786696281E+00   -0.412241652596990065E+02
    0.261346074074305875E+03    0.942175197511838405E+03    0.577651594932848234E+00    0.135508656094079333E+04    0.133790959601968340E+01    0.334444155548541344E+00    0.906531751487925419E+00   -0.411943818468059817E+02
    0.261344761165587840E+03    0.942176545551477489E+03    0.680922562943896970E+00    0.135692163712520323E+04    0.142737100270464712E+01    0.632899896706380249E+00    0.869346355420239192E+00   -0.410462065970580809E+02
    0.261346049382567003E+03    0.942175116065708494E+03    0.654369804033110514E+00    0.129730903335016001E+04    0.142237021312025425E+01    0.344712152181889886E+00    0.964093606139299619E+00   -0.409713616989686216E+02
    0.261346143429915401E+03    0.942175218690379438E+03    0.352264857192832959E+00    0.126282801491836199E+04    0.110972317605105086E+01    0.117173269313465861E+00    0.409204142676165394E+00   -0.405837816256012900E+02
    0.261345619201209729E+03    0.942173389846598866E+03    0.433020854350470774E+00    0.126952327201736875E+04    0.119555447863462172E+01    0.290085461113613940E+00    0.401830681937819068E+00   -0.405123849397135629E+02
    0.261344747368507967E+03    0.942176786827559908E+03    0.306498465700338729E+00    0.125109428175451899E+04    0.103230247694763344E+01    0.347228739116165974E+00    0.776259566646408605E+00   -0.402424545172019918E+02
    0.261345915520586402E+03    0.942176107921843595E+03    0.543927999301949350E+00    0.127351662976979219E+04    0.130777645157754474E+01    0.373577737618681960E+00    0.813751284891378157E+00   -0.401567819804275032E+02
    0.261344098995903948E+03    0.942173875359393037E+03    0.325055867526763076E+00    0.123080276774724643E+04    0.105437248697349961E+01    0.536335778162246202E+00    0.478233988605127336E+00   -0.399321923884554195E+02
    0.261344834826311740E+03    0.942174152963403571E+03    0.565961857447675798E+00    0.122187640939671110E+04    0.135294112330479077E+01    0.145168627425526303E+00    0.787855787101385041E+00   -0.398932139350986645E+02
